"","i","x","Number.i","Suit.i","Value.i","Number.x","Suit.x","Value.x"
"1","AC","2S","A","C",13,"2","S",1
"2","AC","3S","A","C",13,"3","S",2
"3","AC","4S","A","C",13,"4","S",3
"4","AC","5S","A","C",13,"5","S",4
"5","AC","6S","A","C",13,"6","S",5
"6","AC","7S","A","C",13,"7","S",6
"7","AC","8S","A","C",13,"8","S",7
"8","AC","9S","A","C",13,"9","S",8
"9","AC","10S","A","C",13,"10","S",9
"10","AC","JS","A","C",13,"J","S",10
"11","AC","QS","A","C",13,"Q","S",11
"12","AC","KS","A","C",13,"K","S",12
"13","AC","AS","A","C",13,"A","S",13
"14","AC","2H","A","C",13,"2","H",1
"15","AC","3H","A","C",13,"3","H",2
"16","AC","4H","A","C",13,"4","H",3
"17","AC","5H","A","C",13,"5","H",4
"18","AC","6H","A","C",13,"6","H",5
"19","AC","7H","A","C",13,"7","H",6
"20","AC","8H","A","C",13,"8","H",7
"21","AC","9H","A","C",13,"9","H",8
"22","AC","10H","A","C",13,"10","H",9
"23","AC","JH","A","C",13,"J","H",10
"24","AC","QH","A","C",13,"Q","H",11
"25","AC","KH","A","C",13,"K","H",12
"26","AC","AH","A","C",13,"A","H",13
"27","AC","2D","A","C",13,"2","D",1
"28","AC","3D","A","C",13,"3","D",2
"29","AC","4D","A","C",13,"4","D",3
"30","AC","5D","A","C",13,"5","D",4
"31","AC","6D","A","C",13,"6","D",5
"32","AC","7D","A","C",13,"7","D",6
"33","AC","8D","A","C",13,"8","D",7
"34","AC","9D","A","C",13,"9","D",8
"35","AC","10D","A","C",13,"10","D",9
"36","AC","JD","A","C",13,"J","D",10
"37","AC","QD","A","C",13,"Q","D",11
"38","AC","KD","A","C",13,"K","D",12
"39","AC","AD","A","C",13,"A","D",13
"40","AC","2C","A","C",13,"2","C",1
"41","AC","3C","A","C",13,"3","C",2
"42","AC","4C","A","C",13,"4","C",3
"43","AC","5C","A","C",13,"5","C",4
"44","AC","6C","A","C",13,"6","C",5
"45","AC","7C","A","C",13,"7","C",6
"46","AC","8C","A","C",13,"8","C",7
"47","AC","9C","A","C",13,"9","C",8
"48","AC","10C","A","C",13,"10","C",9
"49","AC","JC","A","C",13,"J","C",10
"50","AC","QC","A","C",13,"Q","C",11
"51","AC","KC","A","C",13,"K","C",12
"52","AC","AC","A","C",13,"A","C",13
"53","2S","3S","2","S",1,"3","S",2
"54","2S","4S","2","S",1,"4","S",3
"55","2S","5S","2","S",1,"5","S",4
"56","2S","6S","2","S",1,"6","S",5
"57","2S","7S","2","S",1,"7","S",6
"58","2S","8S","2","S",1,"8","S",7
"59","2S","9S","2","S",1,"9","S",8
"60","2S","10S","2","S",1,"10","S",9
"61","2S","JS","2","S",1,"J","S",10
"62","2S","QS","2","S",1,"Q","S",11
"63","2S","KS","2","S",1,"K","S",12
"64","2S","AS","2","S",1,"A","S",13
"65","2S","2H","2","S",1,"2","H",1
"66","2S","3H","2","S",1,"3","H",2
"67","2S","4H","2","S",1,"4","H",3
"68","2S","5H","2","S",1,"5","H",4
"69","2S","6H","2","S",1,"6","H",5
"70","2S","7H","2","S",1,"7","H",6
"71","2S","8H","2","S",1,"8","H",7
"72","2S","9H","2","S",1,"9","H",8
"73","2S","10H","2","S",1,"10","H",9
"74","2S","JH","2","S",1,"J","H",10
"75","2S","QH","2","S",1,"Q","H",11
"76","2S","KH","2","S",1,"K","H",12
"77","2S","AH","2","S",1,"A","H",13
"78","2S","2D","2","S",1,"2","D",1
"79","2S","3D","2","S",1,"3","D",2
